date|distance|mov_time|elevation|relativeEffort|avg_power_weig|work_total|training_load|intensity|estAvgPower|energyOutput|avg_speed|max_speed|avg_cadence|max_cadence|avg_heartRate|max_heartRate|avg_power|max_power|avg_calories|avg_temperature|avg_elap_time|bicycle_model|url
1/27/2018|0.21|00:01:42|13|0|0|0|0||0|0|7.4|10.8|0|0|0|0|0|0||22|01:04:33|Garmin Edge 810|https://www.strava.com/activities/1378920330
1/25/2018|0.01|00:00:00|0|0|0|0|0||0|0|1.8|1.1|0|0|103|126|0|0||16|00:30:49|Garmin Edge 810|https://www.strava.com/activities/1375954877
1/23/2018|25.24|00:52:59|119|0|0|0|0||0|0|28.6|54|70|137|0|0|0|0|646|10|04:47:10|Garmin Edge 810|https://www.strava.com/activities/1372837816
1/22/2018|25.48|00:59:10|125|0|0|0|0||0|0|25.8|43.9|73|135|0|0|0|0|630|8|03:11:52|Garmin Edge 810|https://www.strava.com/activities/1369739307
1/21/2018|0|00:00:00|0|0|0|0|0||0|0|3|0.7|74|152|0|0|0|0|2|9|00:50:02|Garmin Edge 810|https://www.strava.com/activities/1368206593
1/21/2018|0.02|00:00:00|6|0|0|0|0||0|0|3.9|14.4|79|129|0|0|0|0|6|10|01:00:01|Garmin Edge 810|https://www.strava.com/activities/1368206458
1/20/2018|0|00:00:00|10|0|0|0|0||0|0|3.7|0.4|86|97|0|0|0|0|1|10|00:46:01|Garmin Edge 810|https://www.strava.com/activities/1368206229
1/19/2018|25.52|00:55:00|135|0|0|0|0||0|0|27.8|49.3|76|145|0|0|0|0|751|5|02:54:21|Garmin Edge 810|https://www.strava.com/activities/1368206169
1/18/2018|25.1|00:58:32|117|0|0|0|0||0|0|25.7|42.1|70|164|0|0|0|0|615|3|05:40:53|Garmin Edge 810|https://www.strava.com/activities/1368206020
1/17/2018|25.34|00:58:03|137|0|0|0|0||0|0|26.2|42.8|72|114|0|0|0|0|706|4|05:00:06|Garmin Edge 810|https://www.strava.com/activities/1368205834
1/16/2018|12.32|00:26:13|44|0|0|0|0||0|0|28.2|45.7|76|112|0|0|0|0|348|2|00:30:52|Garmin Edge 810|https://www.strava.com/activities/1360723788
1/14/2018|128.83|04:21:31|1939|0|0|0|0||0|0|29.6|65.5|79|134|144|181|0|0|3,948|0|04:33:36|Garmin Edge 810|https://www.strava.com/activities/1357013465
1/12/2018|25.37|00:58:00|122|0|0|0|0||0|0|26.2|40.7|75|141|0|0|0|0|602|6|03:32:40|Garmin Edge 810|https://www.strava.com/activities/1353301495
1/10/2018|25.93|00:56:18|115|0|0|0|0||0|0|27.6|46.1|75|136|0|0|0|0|711|6|04:28:34|Garmin Edge 810|https://www.strava.com/activities/1350345976
1/9/2018|24.89|00:54:48|122|0|0|0|0||0|0|27.3|45.4|76|129|0|0|0|0|660|4|10:02:49|Garmin Edge 810|https://www.strava.com/activities/1350345828
1/4/2018|12.72|00:29:09|181|0|0|0|0||0|0|26.2|41.8|68|118|0|0|0|0|379|4|00:32:36|Garmin Edge 810|https://www.strava.com/activities/1350343404
1/4/2018|12.32|00:28:04|54|0|0|0|0||0|0|26.4|43.6|75|148|122|152|0|0|281|5|00:30:43|Garmin Edge 810|https://www.strava.com/activities/1340174241
1/3/2018|0|00:00:00|6|0|0|0|0||0|0|4.7|0.7|90|119|0|0|0|0|1|19|00:45:17|Garmin Edge 810|https://www.strava.com/activities/1339121903
1/30/2018|25.26|00:52:31|115|0|0|0|0||0|0|28.9|44.6|0|0|0|0|0|0||3|10:23:31|Garmin Edge 810|https://www.strava.com/activities/1383225705
1/29/2018|39.15|01:24:50|338|0|0|0|0||0|0|27.7|65.2|0|0|0|0|0|0||5|01:49:34|Garmin Edge 810|https://www.strava.com/activities/1382405133
1/26/2018|12.67|00:28:57|42|0|0|0|0||0|0|26.3|38.5|0|0|0|0|0|0||9|00:35:45|Garmin Edge 810|https://www.strava.com/activities/1376131038
1/26/2018|12.77|00:28:01|60|0|0|0|0||0|0|27.3|43.6|0|0|0|0|0|0||4|00:30:40|Garmin Edge 810|https://www.strava.com/activities/1375954933
1/24/2018|24.44|00:52:53|116|0|0|0|0||0|0|27.7|47.5|70|180|0|0|0|0|581|7|04:30:20|Garmin Edge 810|https://www.strava.com/activities/1373242618
1/15/2018|24.93|00:54:51|98|0|0|0|0||0|0|27.3|48.2|72|133|0|0|0|0|543|6|03:10:51|Garmin Edge 810|https://www.strava.com/activities/1358500365
1/13/2018|35.02|01:20:47|301|0|0|0|0||0|0|26|65.9|78|187|0|0|0|0|840|4|01:59:36|Garmin Edge 810|https://www.strava.com/activities/1355253349
1/11/2018|113.76|03:49:08|1534|0|0|0|0||0|0|29.8|86.8|80|179|134|157|0|0|3,519|1|04:12:15|Garmin Edge 810|https://www.strava.com/activities/1351847496
1/8/2018|12.32|00:29:13|51|0|0|0|0||0|0|25.3|38.5|68|171|0|0|0|0|229|4|00:32:30|Garmin Edge 810|https://www.strava.com/activities/1350345964
1/8/2018|12.75|00:29:26|83|0|0|0|0||0|0|26|39.6|74|126|0|0|0|0|363|3|00:33:37|Garmin Edge 810|https://www.strava.com/activities/1350345878
1/7/2018|108.26|03:44:16|1513|0|0|0|0||0|0|29|72.4|76|248|125|159|0|0|3,220|0|04:14:12|Garmin Edge 810|https://www.strava.com/activities/1350346093
1/5/2018|37.7|01:24:01|297|0|0|0|0||0|0|26.9|56.2|81|144|0|0|0|0|942|3|01:29:22|Garmin Edge 810|https://www.strava.com/activities/1350344899
1/2/2018|64.25|02:26:24|266|0|0|0|0||0|0|26.3|61.2|69|213|116|153|0|0|1,826|3|02:38:19|Garmin Edge 810|https://www.strava.com/activities/1337221843
1/1/2018|80.83|03:01:45|630|0|0|0|0||0|0|26.7|84.6|73|179|0|0|0|0|2,449|3|03:20:01|Garmin Edge 810|https://www.strava.com/activities/1336988766
2/25/2018|1.36|00:03:07|2|0|0|0|0||0|0|26.2|33.5|83|101|0|0|0|0|44|7|00:03:07|Garmin Edge 520|https://www.strava.com/activities/1425828468
2/28/2018|117.73|03:46:03|823|0|0|0|0||0|0|31.2|55.1|81|204|120|160|0|0|2,700|0|04:18:06|Garmin Edge 520|https://www.strava.com/activities/1429961927
2/27/2018|117.69|03:58:39|590|0|0|0|0||0|0|29.6|53.6|84|134|119|152|0|0|2,865|0|04:08:50|Garmin Edge 520|https://www.strava.com/activities/1428471908
2/26/2018|15.13|00:35:39|42|0|0|0|0||0|0|25.5|36|85|169|0|0|0|0|377|2|01:50:30|Garmin Edge 520|https://www.strava.com/activities/1426906937
2/25/2018|69.27|02:33:25|517|0|0|0|0||0|0|27.1|59|0|0|0|0|0|0|||03:01:57||https://www.strava.com/activities/1425484442
2/24/2018|25.17|00:46:39|29|0|0|0|0||0|0|32.4|42.8|76|169|121|139|0|0|408|6|00:46:39|Garmin Edge 520|https://www.strava.com/activities/1423851635
2/24/2018|148.6|03:43:21|1531|0|0|0|0||0|0|39.9|76|81|195|162|189|0|0|3,800|8|03:43:21|Garmin Edge 520|https://www.strava.com/activities/1423851657
2/22/2018|54.99|01:49:20|312|0|0|0|0||0|0|30.2|55.4|80|251|120|154|0|0|1,390|0|02:05:04|Garmin Edge 520|https://www.strava.com/activities/1420225535
2/21/2018|127.66|04:37:47|1903|0|0|0|0||0|0|27.6|68|76|179|135|180|0|0|3,721|4|05:18:00|Garmin Edge 520|https://www.strava.com/activities/1418823152
2/20/2018|110.35|03:58:07|1665|0|0|0|0||0|0|27.8|59|73|145|139|191|0|0|3,246|5|04:11:16|Garmin Edge 520|https://www.strava.com/activities/1417052286
2/18/2018|40.79|01:32:23|374|0|0|0|0||0|0|26.5|63|77|166|0|0|0|0|886|4|01:35:16|Garmin Edge 520|https://www.strava.com/activities/1417051034
2/16/2018|26.32|00:58:20|167|0|0|0|0||0|0|27.1|58|81|146|0|0|0|0|559|5|01:25:53|Garmin Edge 520|https://www.strava.com/activities/1410080008
2/9/2018|98.48|03:01:22|631|0|0|0|0||0|0|32.6|60.1|80|183|125|170|0|0|2,020|8|03:03:12|Garmin Edge 810|https://www.strava.com/activities/1401388893
2/8/2018|22.28|00:53:34|66|0|0|0|0||0|0|25|43.6|76|162|97|118|0|0|441|8|01:30:14|Garmin Edge 810|https://www.strava.com/activities/1397470581
2/7/2018|98.97|03:00:31|217|0|0|0|0||0|0|32.9|63.7|84|152|122|177|0|0|2,327|6|03:25:42|Garmin Edge 810|https://www.strava.com/activities/1396086237
2/6/2018|106.24|03:31:10|1003|0|0|0|0||0|0|30.2|62.3|75|138|128|184|0|0|2,799|4|03:45:50|Garmin Edge 810|https://www.strava.com/activities/1394453631
2/5/2018|16.65|00:41:41|47|0|0|0|0||0|0|24|43.9|74|137|99|129|0|0|320|7|01:16:25|Garmin Edge 810|https://www.strava.com/activities/1392741558
2/4/2018|201.21|05:37:06|1007|0|0|0|0||0|0|35.8|65.5|79|197|117|160|0|0|3,964|6|06:14:14|Garmin Edge 810|https://www.strava.com/activities/1391385878
2/3/2018|117.65|03:54:15|1388|0|0|0|0||0|0|30.1|63.4|80|228|134|180|0|0|3,126|6|04:20:00|Garmin Edge 810|https://www.strava.com/activities/1389333313
2/2/2018|119.93|03:58:42|1355|0|0|0|0||0|0|30.1|62.6|82|185|139|169|0|0|3,357|4|04:15:09|Garmin Edge 810|https://www.strava.com/activities/1388852442
2/1/2018|110.97|03:27:44|158|0|0|0|0||0|0|32.1|58.7|83|152|129|161|0|0|2,949|4|03:34:19|Garmin Edge 810|https://www.strava.com/activities/1386301583
3/29/2018|0.01|00:00:00|0|0|0|0|0||0|0|40.3|0.7|86|123|132|165|0|0|0|12|01:00:43|Garmin Edge 520|https://www.strava.com/activities/1485894994
3/31/2018|52.16|01:46:26|162|0|0|0|0||0|0|29.4|56.5|82|139|114|180|0|0|1,068|11|01:50:15|Garmin Edge 520|https://www.strava.com/activities/1485895173
3/30/2018|27.42|00:56:50|70|0|0|0|0||0|0|29|40.3|74|146|0|0|0|0|450|14|01:27:28|Garmin Edge 520|https://www.strava.com/activities/1485895024
